X,Y,OBJECTID,StopId,StopAbbr,StopName,NodeAbbr,OnStreet,AtStreet,Lon,Lat,GeoStatus,Comments,BayNum,FacingDir,FareZoneId,CurbType,InService,Preferred,Bench,Shelter,Lighting,Garbage,Telephone,SignPost,Bicycle,Transfer,URL,DATASOURCE,UA
1040403.13582677,445932.21128609,559,12343,BRSA(NW),Broadway/Sarnoff, ,E BROADWAY BLVD,N SARNOFF DR,-110815922,32221161,-214748364, , , ,0,W2,1,0,1,0,0,0,,1,0,1,https://maps2.tucsonaz.gov/tdot/busstops/12343.jpg,TDOT_BUSSTOPS,
1040067.0492126,445799.604986876,560,14544,BRSA(SW),Broadway/Sarnoff, ,E BROADWAY BLVD,N SARNOFF DR,-110817013,32220806,-214748363, ,G purple,1,0,W2,1,1,0,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/14544.jpg,TDOT_BUSSTOPS,
1051190.65255906,445955.32513123,561,16265,BRSB(NW),Broadway/Shadow Brook, ,E BROADWAY BLVD,S SHADOW CREEK PL,-110781044,32220916,-214748363, , , ,0,W2,1,0,1,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/16265.jpg,TDOT_BUSSTOPS,
1052704.46686352,445917.872047246,562,16269,BRSH(SW),Broadway/Sonoran Heights, ,E BROADWAY BLVD,N HOUGHTON RD,-110776151,32220769,-214748363, , , ,0,W2,1,0,0,0,0,0,,1,0,1,https://maps2.tucsonaz.gov/tdot/busstops/16269.jpg,TDOT_BUSSTOPS,
992507.200787403,445400.05905512,563,16177,BRST(SE),SL/Broadway/Stone,BRDYSTON,E BROADWAY BLVD,S SCOTT AVE,-110970796,32220952,-214748363,Sun Link curb stop,SunLink,1,0,W6,1,0,0,0,0,0,,0,1,1,https://maps2.tucsonaz.gov/tdot/busstops/16177.jpg,TDOT_BUSSTOPS,
1016659.80479003,445886.304461941,564,308,BRSW(NW),Broadway/Swan,BRDYSWAN,E BROADWAY BLVD,N SWAN RD,-110892690,32221680,-214748363, ,G blue,1,0,W6,1,1,1,1,1,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/308.jpg,TDOT_BUSSTOPS,
1016896.76935695,445783.778215222,565,307,BRSW(SE),Broadway/Swan,BRDYSWAN,E BROADWAY BLVD,S SWAN RD,-110891927,32221392,-214748363, ,G,1,0,W6,1,1,1,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/307.jpg,TDOT_BUSSTOPS,
1004678.95177165,445757.195209973,566,13422,BRTR(NE),Broadway/Treat, ,E BROADWAY BLVD,N TREAT AVE,-110931431,32221633,-214748363,moved from NW 2022, , ,0,W6,1,0,0,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/13422.jpg,TDOT_BUSSTOPS,
1004960.31069554,445665.907152228,567,13488,BRTR(SE),Broadway/Treat, ,E BROADWAY BLVD,S TREAT AVE,-110930524,32221375,-214748363, , ,1,0,W6,1,0,0,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/13488.jpg,TDOT_BUSSTOPS,
1003416.92093176,445739.826771654,568,13423,BRTU(NW),Broadway/Tucson, ,E BROADWAY BLVD,N TUCSON BLVD,-110935512,32221617,-214748363, , ,1,0,W6,1,0,1,0,1,1,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/13423.jpg,TDOT_BUSSTOPS,
1003648.35925197,445661.897637792,569,13487,BRTU(SE),Broadway/Tucson, ,E BROADWAY BLVD,N TUCSON BLVD,-110934766,32221397,-214748363, , ,1,0,W6,1,0,0,1,1,1,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/13487.jpg,TDOT_BUSSTOPS,
1049782.59284777,445937.199146979,570,16266,BRVO(NW),Broadway/Vozack, ,E BROADWAY BLVD,S VOZACK LN,-110785597,32220907,-214748363, , , ,0,W2,1,0,0,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/16266.jpg,TDOT_BUSSTOPS,
1049907.82874016,445881.393372707,571,16267,BRVO(SE),Broadway/Vozack, ,E BROADWAY BLVD,N STONER AVE,-110785194,32220750,-214748363, , , ,0,W2,1,0,0,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/16267.jpg,TDOT_BUSSTOPS,
1027201.08234908,445912.749343835,572,86,BRWI(NW),Broadway/Wilmot,BRDYWLMT,E BROADWAY BLVD,N WILMOT RD,-110858607,32221472,-214748364, ,cac bl dbl,1,0,W6,1,0,0,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/86.jpg,TDOT_BUSSTOPS,
1027546.56397638,445786.989501312,573,13525,BRWI(SE),Broadway/Wilmot,BRDYWLMT,E BROADWAY BLVD,S WILMOT RD,-110857494,32221117,-214748363, ,cac-ad,1,0,W6,1,0,1,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/13525.jpg,TDOT_BUSSTOPS,
1020884.79527559,445843.515419945,574,13500,BRWM(SE),Broadway/Williams,BRDYWLMT,E BROADWAY BLVD,S WILLIAMS BLVD,-110879031,32221451,-214748363, ,F-bl17r,1,0,W6,1,0,1,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/13500.jpg,TDOT_BUSSTOPS,
1009717.18667979,425555.756561682,575,119,BUGA(SE),Butterfield Dr/Gas Rd,BUTTPARK,S BUTTERFIELD DR,E GAS RD,-110915749,32165981,-214748363,backless concrete bench,S1-bl17,1,0,C,1,0,1,1,1,1,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/119.jpg,TDOT_BUSSTOPS,
1009636.90748031,425702.361548558,576,126,BUGA(SW),Butterfield Dr/Gas Rd,BUTTPARK,S BUTTERFIELD DR,E GAS RD,-110916004,32166386,-214748363, , , ,0,C,1,0,0,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/126.jpg,TDOT_BUSSTOPS,
1005122.29133858,429488.905839898,577,18,BUMC(IN),BUMC/South Campus,BUMCSCAM,BANNER-UMC SOUTH CAMPUS, ,-110930480,32176908,-214748364, ,G,2,0,W5,1,0,0,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/18.jpg,TDOT_BUSSTOPS,
1001069.66765092,437040.754921257,578,16344,CA31(NE),Campbell Av/31st St, ,S MARTIN AV,E 31ST ST,-110943356,32197766,-214748364,New bus stop effective 11-08-20, , ,0, ,1,0,0,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/16344.jpg,TDOT_BUSSTOPS,
1000912.37598425,436816.304133855,579,16345,CA31(SW),Campbell Av/31st St, ,S MARTIN AV,E 31ST ST,-110943871,32197153,-214748364,New bus stop effective 11-08-20, , ,0, ,1,0,0,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/16345.jpg,TDOT_BUSSTOPS,
1001064.55905512,435315.064632542,580,16343,CA36(NE),Campbell Av/36th St, ,S CAMPBELL AV,S FORGEUS AV,-110943423,32193023,-214748364,New bus stop effective 11-08-20, , ,0, ,1,0,0,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/16343.jpg,TDOT_BUSSTOPS,
1000833.4199475,448102.70800525,581,11880,CA6S(NE),Campbell Av/6th St, ,N CAMPBELL AVE,E 6TH ST,-110943796,32228176,-214748363, ,G-bl96r,1,0,W6,1,1,0,1,1,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/11880.jpg,TDOT_BUSSTOPS,
1000767.61450131,447856.162073493,582,11925,CA6S(SW),Campbell Av/6th St,CAMP06ST,N CAMPBELL AVE,E 7TH ST,-110944016,32227500,-214748363, ,F-bl17r,1,0,W6,1,0,1,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/11925.jpg,TDOT_BUSSTOPS,
1000845.55807086,447103.736548558,583,11879,CA8S(NE),Campbell Av/8th St, ,N CAMPBELL AVE,E 8TH ST,-110943786,32225430,-214748363, , , ,0,W6,1,0,1,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/11879.jpg,TDOT_BUSSTOPS,
1000781.54822835,446726.955380574,584,11926,CA9S(NW),Campbell Av/9th St, ,N CAMPBELL AVE,E 7TH ST,-110944004,32224396,-214748363, ,Cac-Ad,1,0,W6,1,0,0,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/11926.jpg,TDOT_BUSSTOPS,
1000758.9406168,452741.254265092,585,11882,CAAD(NE),Campbell Av/Adams,UNIVHOSP,N CAMPBELL AVE,E SPEEDWAY BLVD,-110943901,32240927,-214748363, ,S1-bl14,1,0,W6,1,0,1,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/11882.jpg,TDOT_BUSSTOPS,
1000699.39566929,452692.325459316,586,220,CAAD(NW),Campbell Av/Adams,UNIVHOSP,N CAMPBELL AVE,E GREENLEE RD,-110944095,32240794,-214748363,ad bench inside shelter,S2-bl13,1,0,W6,1,0,1,1,1,1,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/220.jpg,TDOT_BUSSTOPS,
1000704.71227034,465582.969488189,587,11891,CAAL(NE),Campbell Av/Allen, ,N CAMPBELL AVE,E ALLEN RD,-110943700,32276224,-214748363, ,Cac-Ad Dbl,1,0,W3,1,0,0,1,1,1,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/11891.jpg,TDOT_BUSSTOPS,
